index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
853,1757,cisco,san jose,CA,US,NA,NA,software engineer,Software,NA,4,2,103000,5000,5000,0,NA,3/21/16 16:00,82251,29115,0.7385647,0.2614353
887,1826,twitter,not sf,CA,US,NA,NA,sr enginner,Other,Senior,13,1,155000,NA,NA,100000,"Stock value was at time of offer, not now. :-(",3/21/16 16:20,6058,3179,0.6558406,0.3441594
893,1837,google,"mountain view, ca",CA,US,37.41,-122.05,software engineer,Software,NA,6,1,130000,0,20000,180000,NA,3/21/16 16:24,93760,38431,0.7092767,0.2907233
896,1848,linkedin,mountain view,CA,US,NA,NA,senior software engineer,Software,Senior,7,1,165000,40000,16500,100000,NA,3/21/16 16:28,11719,7870,0.5982439,0.4017561
899,1855,airbnb,san francisco,CA,US,NA,NA,software engineer,Software,NA,10,4,185000,0,0,"50,000",NA,3/21/16 16:30,2943,2292,0.5621777,0.4378223
900,1856,intuit,san diego,CA,US,NA,NA,sde co-op,Software,NA,0,0,81120,7500,NA,NA,NA,3/21/16 16:30,10474,7712,0.5759375,0.4240625
916,1880,google,san francisco,CA,US,NA,NA,software engineer,Software,NA,4,4,130500,NA,25000,"100,000",NA,3/21/16 16:40,93760,38431,0.7092767,0.2907233
920,1887,google,new york,NY,US,38,-97,web developer,Web,NA,3,7,103000,0,15000,2000,NA,3/21/16 16:43,93760,38431,0.7092767,0.2907233
926,1896,cisco,cambridge ma,MA,US,38,-97,software engineer ii,Software,2,0,1,85000,0,0,20000,NA,3/21/16 16:46,82251,29115,0.7385647,0.2614353
929,1901,facebook,menlo park,CA,US,NA,NA,engineering manager,Management,NA,4,4,230000,25000,50000,750000,NA,3/21/16 16:47,21269,9659,0.687694,0.312306
938,1915,google,chicago,IL,US,NA,NA,senior software engineer,Software,Senior,4,4,140000,0,30000,70000,NA,3/21/16 16:52,93760,38431,0.7092767,0.2907233
957,1950,apple,cupertino ca,CA,US,38,-97,firmware engineer,Engineering,NA,NA,NA,105000,25000,30000,50000,Bonus based on overtime,3/21/16 17:06,157655,69223,0.6948889,0.3051111
961,1956,twitter,san francisco,CA,US,NA,NA,sre 1,Other,1,3,0,125000,10000,NA,12500,NA,3/21/16 17:08,6058,3179,0.6558406,0.3441594
965,1963,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,1,0,110000,15000,0,45000,Just graduating,3/21/16 17:12,93760,38431,0.7092767,0.2907233
966,1964,twitter,san francisco,CA,US,NA,NA,sr software engineer,Software,Senior,9,3,175000,0,0,300000,NA,3/21/16 17:13,6058,3179,0.6558406,0.3441594
968,1967,apple,cupertino,CA,US,NA,NA,architect,Other,NA,15,1,188000,35000,28000,42000,NA,3/21/16 17:14,157655,69223,0.6948889,0.3051111
977,1987,google,bay area,CA,US,NA,NA,site reliability engineer,Engineering,NA,1,1,110000,15000,22000,46000,L3,3/21/16 17:25,93760,38431,0.7092767,0.2907233
979,1989,google,nyc,NY,US,NA,NA,software engineer (swe iii),Software,NA,8,1,150000,40000,22500,130000,NA,3/21/16 17:26,93760,38431,0.7092767,0.2907233
988,2001,google,"mountain view, ca",CA,US,37.41,-122.05,swe,Software,NA,2,2,160000,0,24000,40000,NA,3/21/16 17:32,93760,38431,0.7092767,0.2907233
989,2002,twitter,seattle,WA,US,NA,NA,software engineer,Software,NA,8,1.5,210000,0,0,"$400,000",NA,3/21/16 17:33,6058,3179,0.6558406,0.3441594
992,2008,lyft,san francisco,CA,US,NA,NA,tech lead,Software,NA,6,1,170000,0,0,100000,NA,3/21/16 17:35,1970,1431,0.5792414,0.4207586
1000,2020,facebook,"new york, ny",NY,US,40.71,-73.99,executive assistant,Management,NA,10,5,40,NA,10000,"20,000",NA,3/21/16 17:39,21269,9659,0.687694,0.312306
1016,2050,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,2,1,110000,7000,16500,46000,NA,3/21/16 17:52,93760,38431,0.7092767,0.2907233
1020,2062,hpe,bangalore,NA,IN,NA,NA,tech lead,Software,NA,22,1,3700000,NA,NA,NA,NA,3/21/16 17:57,69588,34390,0.669257,0.330743
1029,2072,intuit,"mountain view, ca",CA,US,37.41,-122.05,software engineer,Software,NA,1,1,102,10,12000,15000,I'm technically hourly @ $49/hour + overtime,3/21/16 18:01,10474,7712,0.5759375,0.4240625
1034,2079,apple,cupertino,CA,US,NA,NA,senior software engineer,Software,Senior,9,1,160000,0,10000,50000,NA,3/21/16 18:03,157655,69223,0.6948889,0.3051111
1041,2087,google,"mountain view, ca",CA,US,37.41,-122.05,senior software engineer,Software,Senior,11,11,190000,7000,30000,150000,NA,3/21/16 18:07,93760,38431,0.7092767,0.2907233
1063,2142,uber,"san francisco, ca",CA,US,37.77,-122.41,software engineer i,Software,1,6,2,130000,0,50000,435000,NA,3/21/16 18:28,8298,3472,0.7050127,0.2949873
1064,2144,google,"pittsburgh, pa",PA,US,40.35,-79.9,software engineer ii,Software,2,2,1,97000,10000,15000,46000,NA,3/21/16 18:29,93760,38431,0.7092767,0.2907233
1068,2154,google,san jose,CA,US,NA,NA,classified,Other,NA,10,7,600000,0,100000,Classified,NA,3/21/16 18:36,93760,38431,0.7092767,0.2907233
1071,2159,facebook,"menlo park, ca",CA,US,37.45,-122.17,software engineer,Software,NA,6,6,205000,5000,50000,160000,NA,3/21/16 18:38,21269,9659,0.687694,0.312306
1075,2167,23andme,"salt lake city, ut",UT,US,40.75,-111.9,senior bioinformatician,Other,Senior,5,1,125000,5000,12500,NA,NA,3/21/16 18:44,296,298,0.4983165,0.5016835
1079,2178,twitter,remote,CA,US,NA,NA,senior software engineer,Software,Senior,8,3,160000,NA,NA,20k RSUs over 4 years,NA,3/21/16 18:49,6058,3179,0.6558406,0.3441594
1080,2181,facebook,seattle,WA,US,NA,NA,software engineer,Software,NA,1,1,105000,50000,10000,25000,NA,3/21/16 18:50,21269,9659,0.687694,0.312306
1082,2186,google,mountain view,CA,US,NA,NA,software engineer iii (level 4),Software,NA,3,2,139000,5000,30000,58000,NA,3/21/16 18:53,93760,38431,0.7092767,0.2907233
1088,2194,apple,palo alto california,CA,US,38,-97,ceo,Management,NA,30,18,10280000,NA,NA,50000000,NA,3/21/16 18:57,157655,69223,0.6948889,0.3051111
1089,2195,google,boston ma,MA,US,38,-97,software engineer iii,Software,3,7,4,130000,0,30000,70000,NA,3/21/16 18:58,93760,38431,0.7092767,0.2907233
1096,2207,google,los angeles,CA,US,NA,NA,sre swe,Software,Senior,7,3,131,20000,20000,100000,NA,3/21/16 19:03,93760,38431,0.7092767,0.2907233
1112,2238,google,los angeles,CA,US,NA,NA,software engineer 2,Software,2,1,1,108000,25000,5000,50000,NA,3/21/16 19:20,93760,38431,0.7092767,0.2907233
1120,2252,uber,nyc,NY,US,NA,NA,senior software engineer,Software,Senior,7,0.5,175000,0,NA,"$300,000",NA,3/21/16 19:28,8298,3472,0.7050127,0.2949873
1134,2275,google,mountain view,CA,US,NA,NA,chief research engineer,Engineering,NA,13,4,267000,242000,48000,"182,000",NA,3/21/16 19:36,93760,38431,0.7092767,0.2907233
1149,2302,twitter,san francisco,CA,US,NA,NA,staff reliability engineer,Engineering,NA,8,4,153000,10000,NA,20000,NA,3/21/16 19:49,6058,3179,0.6558406,0.3441594
1158,2314,google,mountain view,CA,US,NA,NA,senior software engineer,Software,Senior,8,2.5,156800,3000,48000,40000,bc7722fb17b0f827fcfcf27c9a49bdec39afed68,3/21/16 19:55,93760,38431,0.7092767,0.2907233
1167,2333,salesforce,san francisco,CA,US,NA,NA,senior member of technical staff,Other,Senior,3,3,125000,20000,18750,20000,NA,3/21/16 20:04,28212,13189,0.6814328,0.3185672
1168,2337,cisco,"los angeles, ca",CA,US,33.99,-118.39,it engineer,Engineering,NA,15,2,125000,0,15000,0,NA,3/21/16 20:05,82251,29115,0.7385647,0.2614353
1178,2348,apple,"cupertino, ca",CA,US,37.3,-122.09,software engineer,Software,NA,0,0,112000,34000,NA,25000,NA,3/21/16 20:16,157655,69223,0.6948889,0.3051111
1190,2372,google,nyc,NY,US,NA,NA,software engineeer iii,Software,3,4,1,135000,0,20000,68000,NA,3/21/16 20:27,93760,38431,0.7092767,0.2907233
1195,2380,google,san francisco,CA,US,NA,NA,swe,Software,NA,3,2,130000,500000,45000,70000,NA,3/21/16 20:32,93760,38431,0.7092767,0.2907233
1196,2381,google,san francisco,CA,US,NA,NA,software engineer,Software,NA,2.5,1,123000,0,25000,40000,NA,3/21/16 20:32,93760,38431,0.7092767,0.2907233
1197,2382,intel,"hillsboro, oregon",OR,US,45.52,-122.85,software engineer,Software,NA,4,4,103000,0,10000,3500,NA,3/21/16 20:32,120744,41259,0.7453195,0.2546805
1208,2421,google,mountain view,CA,US,NA,NA,software engineer ii,Software,2,1,1,114500,15000,15000,45000,NA,3/21/16 21:03,93760,38431,0.7092767,0.2907233
1211,2431,facebook,new york,NY,US,38,-97,software engineer,Software,NA,3,1,220000,100000,100000,300000,NA,3/21/16 21:07,21269,9659,0.687694,0.312306
1213,2434,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,8,8,250000,NA,75000,"800,000",NA,3/21/16 21:09,93760,38431,0.7092767,0.2907233
1218,2441,google,mtv,CA,US,NA,NA,software engineer,Software,NA,10,2,160000,25000,30000,100000,NA,3/21/16 21:17,93760,38431,0.7092767,0.2907233
1219,2442,google,new york,NY,US,38,-97,software engineer,Software,NA,15,0.5,132000,0,20000,50000,NA,3/21/16 21:17,93760,38431,0.7092767,0.2907233
1221,2444,google,bay area,CA,US,NA,NA,software engineer,Software,NA,NA,NA,160000,NA,30000,100000,Rounded,3/21/16 21:19,93760,38431,0.7092767,0.2907233
1243,2480,square,san francisco,CA,US,NA,NA,software engineer,Software,NA,10,1.5,150000,0,NA,15000,NA,3/21/16 21:44,2238,1184,0.6540035,0.3459965
